TITLE SAMPLE NAME:,PP_ZEPTO_LID
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.959
LASTX:,599.82981
LASTY:,97.976
NPOINTS:,1681
3996.82516,98.959
3994.78492,98.929
3992.74468,98.917
3990.70444,98.923
3988.66421,98.94
3986.62397,98.97
3984.58373,98.999
3982.5435,99
3980.50326,98.965
3978.46302,98.921
3976.42278,98.895
3974.38255,98.897
3972.34231,98.917
3970.30207,98.934
3968.26183,98.949
3966.2216,98.955
3964.18136,98.941
3962.14112,98.92
3960.10088,98.911
3958.06065,98.918
3956.02041,98.935
3953.98017,98.941
3951.93993,98.926
3949.8997,98.903
3947.85946,98.889
3945.81922,98.869
3943.77898,98.835
3941.73875,98.83
3939.69851,98.87
3937.65827,98.899
3935.61803,98.89
3933.5778,98.871
3931.53756,98.88
3929.49732,98.924
3927.45708,98.962
3925.41685,98.961
3923.37661,98.939
3921.33637,98.915
3919.29613,98.886
3917.2559,98.855
3915.21566,98.853
3913.17542,98.882
3911.13518,98.912
3909.09495,98.929
3907.05471,98.932
3905.01447,98.914
3902.97423,98.899
3900.934,98.905
3898.89376,98.911
3896.85352,98.908
3894.81329,98.893
3892.77305,98.858
3890.73281,98.822
3888.69257,98.814
3886.65234,98.824
3884.6121,98.836
3882.57186,98.85
3880.53162,98.865
3878.49139,98.87
3876.45115,98.861
3874.41091,98.86
3872.37067,98.889
3870.33044,98.919
3868.2902,98.936
3866.24996,98.949
3864.20972,98.938
3862.16949,98.917
3860.12925,98.914
3858.08901,98.929
3856.04877,98.951
3854.00854,98.946
3851.9683,98.906
3849.92806,98.892
3847.88782,98.917
3845.84759,98.941
3843.80735,98.94
3841.76711,98.928
3839.72687,98.929
3837.68664,98.94
3835.6464,98.968
3833.60616,99.006
3831.56592,99.007
3829.52569,98.962
3827.48545,98.919
3825.44521,98.913
3823.40497,98.919
3821.36474,98.908
3819.3245,98.894
3817.28426,98.895
3815.24402,98.911
3813.20379,98.944
3811.16355,98.968
3809.12331,98.952
3807.08307,98.91
3805.04284,98.897
3803.0026,98.935
3800.96236,98.982
3798.92213,99.005
3796.88189,99.009
3794.84165,99.007
3792.80141,99.003
3790.76118,98.993
3788.72094,98.975
3786.6807,98.94
3784.64046,98.9
3782.60023,98.888
3780.55999,98.904
3778.51975,98.925
3776.47951,98.94
3774.43928,98.959
3772.39904,98.98
3770.3588,98.975
3768.31856,98.945
3766.27833,98.924
3764.23809,98.929
3762.19785,98.945
3760.15761,98.93
3758.11738,98.883
3756.07714,98.853
3754.0369,98.861
3751.99666,98.862
3749.95643,98.832
3747.91619,98.836
3745.87595,98.873
3743.83571,98.886
3741.79548,98.903
3739.75524,98.951
3737.715,98.964
3735.67476,98.889
3733.63453,98.803
3731.59429,98.789
3729.55405,98.813
3727.51381,98.841
3725.47358,98.876
3723.43334,98.889
3721.3931,98.856
3719.35286,98.822
3717.31263,98.831
3715.27239,98.88
3713.23215,98.929
3711.19191,98.932
3709.15168,98.91
3707.11144,98.916
3705.0712,98.93
3703.03097,98.929
3700.99073,98.925
3698.95049,98.933
3696.91025,98.935
3694.87002,98.92
3692.82978,98.908
3690.78954,98.923
3688.7493,98.951
3686.70907,98.974
3684.66883,98.993
3682.62859,98.987
3680.58835,98.947
3678.54812,98.903
3676.50788,98.908
3674.46764,98.967
3672.4274,99.015
3670.38717,99.01
3668.34693,98.979
3666.30669,98.96
3664.26645,98.954
3662.22622,98.958
3660.18598,98.968
3658.14574,98.965
3656.1055,98.952
3654.06527,98.96
3652.02503,98.978
3649.98479,98.956
3647.94455,98.901
3645.90432,98.89
3643.86408,98.926
3641.82384,98.951
3639.7836,98.946
3637.74337,98.935
3635.70313,98.93
3633.66289,98.925
3631.62265,98.899
3629.58242,98.863
3627.54218,98.871
3625.50194,98.919
3623.4617,98.945
3621.42147,98.938
3619.38123,98.908
3617.34099,98.874
3615.30075,98.858
3613.26052,98.858
3611.22028,98.868
3609.18004,98.883
3607.13981,98.895
3605.09957,98.902
3603.05933,98.907
3601.01909,98.907
3598.97886,98.893
3596.93862,98.879
