TITLE SAMPLE NAME:,PVC_CREDIT_CARD
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99.05
LASTX:,599.82981
LASTY:,99.124
NPOINTS:,1681
3996.82516,99.05
3994.78492,99.011
3992.74468,98.991
3990.70444,99.003
3988.66421,99.005
3986.62397,99.003
3984.58373,99.023
3982.5435,99.056
3980.50326,99.086
3978.46302,99.111
3976.42278,99.123
3974.38255,99.102
3972.34231,99.074
3970.30207,99.062
3968.26183,99.038
3966.2216,98.989
3964.18136,98.965
3962.14112,98.975
3960.10088,98.989
3958.06065,99.005
3956.02041,99.015
3953.98017,99.017
3951.93993,99.025
3949.8997,99.012
3947.85946,98.945
3945.81922,98.909
3943.77898,98.976
3941.73875,98.997
3939.69851,98.939
3937.65827,98.908
3935.61803,98.922
3933.5778,98.976
3931.53756,98.974
3929.49732,98.92
3927.45708,98.954
3925.41685,99.023
3923.37661,98.95
3921.33637,98.847
3919.29613,98.853
3917.2559,98.881
3915.21566,98.864
3913.17542,98.878
3911.13518,98.921
3909.09495,98.902
3907.05471,98.92
3905.01447,98.993
3902.97423,98.959
3900.934,98.894
3898.89376,98.845
3896.85352,98.769
3894.81329,98.859
3892.77305,99.091
3890.73281,99.061
3888.69257,98.867
3886.65234,98.866
3884.6121,98.813
3882.57186,98.794
3880.53162,98.911
3878.49139,98.838
3876.45115,98.825
3874.41091,98.917
3872.37067,98.956
3870.33044,99.003
3868.2902,98.888
3866.24996,98.897
3864.20972,99.029
3862.16949,98.946
3860.12925,98.768
3858.08901,98.691
3856.04877,98.94
3854.00854,99.291
3851.9683,99.064
3849.92806,98.717
3847.88782,98.716
3845.84759,98.863
3843.80735,98.915
3841.76711,98.881
3839.72687,98.978
3837.68664,99.071
3835.6464,98.993
3833.60616,98.939
3831.56592,98.915
3829.52569,98.871
3827.48545,98.88
3825.44521,98.853
3823.40497,98.974
3821.36474,99.159
3819.3245,99.033
3817.28426,99.094
3815.24402,99.163
3813.20379,98.96
3811.16355,98.896
3809.12331,99.059
3807.08307,99.105
3805.04284,98.926
3803.0026,99.041
3800.96236,99.166
3798.92213,98.995
3796.88189,98.982
3794.84165,98.982
3792.80141,98.937
3790.76118,98.952
3788.72094,98.959
3786.6807,98.975
3784.64046,98.963
3782.60023,98.946
3780.55999,99.075
3778.51975,99.154
3776.47951,99.066
3774.43928,99.006
3772.39904,99.057
3770.3588,99.112
3768.31856,99.041
3766.27833,98.991
3764.23809,98.941
3762.19785,98.945
3760.15761,99.036
3758.11738,98.934
3756.07714,98.739
3754.0369,98.832
3751.99666,99.101
3749.95643,98.989
3747.91619,98.716
3745.87595,98.945
3743.83571,99.084
3741.79548,98.749
3739.75524,98.658
3737.715,98.876
3735.67476,99.043
3733.63453,99
3731.59429,98.844
3729.55405,98.713
3727.51381,98.763
3725.47358,98.846
3723.43334,98.864
3721.3931,98.896
3719.35286,98.895
3717.31263,98.821
3715.27239,98.801
3713.23215,98.977
3711.19191,99.084
3709.15168,98.928
3707.11144,98.778
3705.0712,98.837
3703.03097,99.026
3700.99073,99.049
3698.95049,98.928
3696.91025,98.869
3694.87002,98.814
3692.82978,98.847
3690.78954,99.054
3688.7493,99.147
3686.70907,98.983
3684.66883,98.874
3682.62859,98.885
3680.58835,98.871
3678.54812,98.954
3676.50788,99.181
3674.46764,99.03
3672.4274,98.841
3670.38717,99.073
3668.34693,99.068
3666.30669,98.913
3664.26645,98.936
3662.22622,98.961
3660.18598,98.937
3658.14574,99.003
3656.1055,98.97
3654.06527,98.761
3652.02503,98.866
3649.98479,99.138
3647.94455,99.021
3645.90432,98.762
3643.86408,98.738
3641.82384,98.899
3639.7836,99.013
3637.74337,99.027
3635.70313,98.994
3633.66289,98.907
3631.62265,98.925
3629.58242,99.121
3627.54218,99.006
3625.50194,98.743
3623.4617,98.725
3621.42147,98.883
3619.38123,98.969
3617.34099,98.817
3615.30075,98.729
3613.26052,98.787
3611.22028,98.82
3609.18004,98.893
3607.13981,98.913
3605.09957,98.871
3603.05933,98.935
3601.01909,99.002
3598.97886,98.948
3596.93862,98.909
