PP
TITLE SAMPLE NAME:,Polypropylene (PP)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Absorbance
FIRSTX:,3996.86747
FIRSTY:,0.0077
LASTX:,599.83616
LASTY:,0.00641
NPOINTS:,1681
3527.60789,0.01081
3525.56763,0.01095
3523.52737,0.01032
3521.48711,0.00906
3519.44686,0.00793
3517.40660,0.00745
3515.36634,0.00739
3513.32608,0.00775
3511.28582,0.00854
3509.24556,0.00896
3507.20530,0.00878
3505.16504,0.00915
3503.12478,0.00982
3501.08452,0.00931
3499.04427,0.00824
3497.00401,0.00778
3494.96375,0.00757
3492.92349,0.00725
3490.88323,0.00717
3488.84297,0.00741
3486.80271,0.00759
3484.76245,0.00779
3482.72219,0.00820
3480.68193,0.00818
3478.64167,0.00756
3476.60142,0.00720
3474.56116,0.00718
3472.52090,0.00706
3470.48064,0.00690
3468.44038,0.00687
3466.40012,0.00698
3464.35986,0.00724
3462.31960,0.00753
3460.27934,0.00748
3458.23908,0.00713
3456.19883,0.00686
3454.15857,0.00675
3452.11831,0.00681
3450.07805,0.00728
3448.03779,0.00806
3445.99753,0.00828
3443.95727,0.00783
3441.91701,0.00734
3439.87675,0.00695
3437.83649,0.00670
3435.79623,0.00665
3433.75598,0.00673
3431.71572,0.00676
3429.67546,0.00669
3427.63520,0.00669
3425.59494,0.00684
3423.55468,0.00727
3421.51442,0.00783
3419.47416,0.00779
3417.43390,0.00715
3415.39364,0.00671
3413.35339,0.00662
3411.31313,0.00665
3409.27287,0.00667
3407.23261,0.00664
3405.19235,0.00674
3403.15209,0.00693
3401.11183,0.00698
3399.07157,0.00703
3397.03131,0.00720
3394.99105,0.00730
3392.95079,0.00729
3390.91054,0.00721
3388.87028,0.00710
3386.83002,0.00708
3384.78976,0.00705
3382.74950,0.00690
3380.70924,0.00683
3378.66898,0.00690
3376.62872,0.00685
3374.58846,0.00667
3372.54820,0.00657
3370.50795,0.00665
3368.46769,0.00686
3366.42743,0.00705
3364.38717,0.00712
3362.34691,0.00704
3360.30665,0.00687
3358.26639,0.00681
3356.22613,0.00693
3354.18587,0.00691
3352.14561,0.00671
3350.10535,0.00658
3348.06510,0.00653
3346.02484,0.00655
3343.98458,0.00660
3341.94432,0.00660
3339.90406,0.00660
3337.86380,0.00671
3335.82354,0.00680
3333.78328,0.00677
3331.74302,0.00669
3329.70276,0.00664
3327.66251,0.00662
3325.62225,0.00658
3323.58199,0.00651
3321.54173,0.00649
3319.50147,0.00660
3317.46121,0.00678
3315.42095,0.00683
3313.38069,0.00678
3311.34043,0.00678
3309.30017,0.00680
3307.25991,0.00670
3305.21966,0.00653
3303.17940,0.00641
3301.13914,0.00638
3299.09888,0.00649
3297.05862,0.00662
3295.01836,0.00669
3292.97810,0.00677
3290.93784,0.00684
3288.89758,0.00683
3286.85732,0.00678
3284.81707,0.00677
3282.77681,0.00680
3280.73655,0.00678
3278.69629,0.00679
3276.65603,0.00693
3274.61577,0.00707
3272.57551,0.00695
3270.53525,0.00666
3268.49499,0.00647
3266.45473,0.00648
3264.41447,0.00656
3262.37422,0.00662
3260.33396,0.00669
3258.29370,0.00683
3256.25344,0.00698
3254.21318,0.00691
3252.17292,0.00663
3250.13266,0.00646
3248.09240,0.00655
3246.05214,0.00676
3244.01188,0.00677
3241.97163,0.00660
3239.93137,0.00649
3237.89111,0.00650
3235.85085,0.00654
3233.81059,0.00654
3231.77033,0.00659
3229.73007,0.00669
3227.68981,0.00667
3225.64955,0.00652
3223.60929,0.00647
3221.56903,0.00657
3219.52878,0.00664
3217.48852,0.00663
3215.44826,0.00667
3213.40800,0.00675
3211.36774,0.00684
3209.32748,0.00680
3207.28722,0.00653
3205.24696,0.00633
3203.20670,0.00635
3201.16644,0.00639
3199.12619,0.00643
3197.08593,0.00648
3195.04567,0.00640
3193.00541,0.00630
3190.96515,0.00633
3188.92489,0.00643
3186.88463,0.00657
3184.84437,0.00656
3182.80411,0.00636
3180.76385,0.00630
3178.72359,0.00646
3176.68334,0.00655
3174.64308,0.00654
3172.60282,0.00659
3170.56256,0.00659
3168.52230,0.00651
3166.48204,0.00647
3164.44178,0.00647
3162.40152,0.00646
3160.36126,0.00640
3158.32100,0.00631
3156.28075,0.00631
3154.24049,0.00643
3152.20023,0.00649
3150.15997,0.00640
3148.11971,0.00630
3146.07945,0.00629
3144.03919,0.00631
3141.99893,0.00632
3139.95867,0.00637
3137.91841,0.00641
3135.87815,0.00646
3133.83790,0.00666
3131.79764,0.00677
3129.75738,0.00665
3127.71712,0.00653
3125.67686,0.00656
3123.63660,0.00667
3121.59634,0.00675
3119.55608,0.00677
3117.51582,0.00681
3115.47556,0.00679
3113.43531,0.00666
3111.39505,0.00652
3109.35479,0.00651
3107.31453,0.00659
3105.27427,0.00660
3103.23401,0.00666
3101.19375,0.00681
3099.15349,0.00685
3097.11323,0.00680
3095.07297,0.00664
3093.03272,0.00638
3090.99246,0.00622
3088.95220,0.00622
3086.91194,0.00624
3084.87168,0.00634
3082.83142,0.00657
3080.79116,0.00674
3078.75090,0.00667
3076.71064,0.00643
3074.67038,0.00625
3072.63012,0.00622
3070.58987,0.00627
3068.54961,0.00641
3066.50935,0.00657
3064.46909,0.00658
3062.42883,0.00646
3060.38857,0.00643
3058.34831,0.00655
3056.30805,0.00660
3054.26779,0.00644
3052.22753,0.00632
3050.18728,0.00640
3048.14702,0.00646
3046.10676,0.00641
3044.06650,0.00636
3042.02624,0.00632
3039.98598,0.00622
3037.94572,0.00616
3035.90546,0.00621
3033.86520,0.00635
3031.82494,0.00643
3029.78468,0.00630
3027.74443,0.00608
3025.70417,0.00595
3023.66391,0.00587
3021.62365,0.00585
3019.58339,0.00594
3017.54313,0.00596
3015.50287,0.00583
3013.46261,0.00569
3011.42235,0.00552
3009.38209,0.00528
3007.34184,0.00508
3005.30158,0.00496
3003.26132,0.00489
3001.22106,0.00479
2999.18080,0.00466
2997.14054,0.00460
2995.10028,0.00460
2993.06002,0.00454
2991.01976,0.00442
2988.97950,0.00425
2986.93924,0.00412
2984.89899,0.00412
2982.85873,0.00422
2980.81847,0.00433
2978.77821,0.00440
2976.73795,0.00439
2974.69769,0.00429
2972.65743,0.00422
2970.61717,0.00431
2968.57691,0.00441
2966.53665,0.00444
2964.49640,0.00443
2962.45614,0.00438
2960.41588,0.00438
2958.37562,0.00447
2956.33536,0.00456
2954.29510,0.00457
2952.25484,0.00459
2950.21458,0.00468
2948.17432,0.00472
2946.13406,0.00468
2944.09380,0.00463
2942.05355,0.00464
2940.01329,0.00472
2937.97303,0.00483
2935.93277,0.00495
2933.89251,0.00506
2931.85225,0.00511
2929.81199,0.00509
2927.77173,0.00508
2925.73147,0.00507
2923.69121,0.00504
2921.65096,0.00497
2919.61070,0.00483
2917.57044,0.00467
2915.53018,0.00461
2913.48992,0.00459
2911.44966,0.00455
2909.40940,0.00454
2907.36914,0.00459
2905.32888,0.00458
2903.28862,0.00449
2901.24836,0.00441
2899.20811,0.00447
2897.16785,0.00459
2895.12759,0.00468
2893.08733,0.00476
2891.04707,0.00477
2889.00681,0.00472
2886.96655,0.00477
2884.92629,0.00487
2882.88603,0.00492
2880.84577,0.00491
2878.80552,0.00486
2876.76526,0.00489
2874.72500,0.00501
2872.68474,0.00517
2870.64448,0.00525
2868.60422,0.00524
2866.56396,0.00526
2864.52370,0.00538
2862.48344,0.00547
2860.44318,0.00550
2858.40292,0.00553
2856.36267,0.00556
2854.32241,0.00555
2852.28215,0.00556
2850.24189,0.00564
2848.20163,0.00575
2846.16137,0.00584
2844.12111,0.00591
2842.08085,0.00593
2840.04059,0.00591
2838.00033,0.00588
2835.96008,0.00582
2833.91982,0.00573
2831.87956,0.00566
2829.83930,0.00567
2827.79904,0.00574
2825.75878,0.00583
2823.71852,0.00593
2821.67826,0.00602
2819.63800,0.00603
2817.59774,0.00596
2815.55748,0.00591
2813.51723,0.00591
2811.47697,0.00594
2809.43671,0.00597
2807.39645,0.00596
2805.35619,0.00595
2803.31593,0.00597
2801.27567,0.00603
2799.23541,0.00605
2797.19515,0.00602
2795.15489,0.00603
2793.11464,0.00607
2791.07438,0.00609
2789.03412,0.00608
2786.99386,0.00608
2784.95360,0.00608
2782.91334,0.00605
2780.87308,0.00602
2778.83282,0.00599
2776.79256,0.00597
2774.75230,0.00598
2772.71204,0.00602
2770.67179,0.00604
2768.63153,0.00606
2766.59127,0.00604
2764.55101,0.00598
2762.51075,0.00600
2760.47049,0.00608
2758.43023,0.00612
2756.38997,0.00613
2754.34971,0.00618
2752.30945,0.00623
2750.26920,0.00622
2748.22894,0.00618
2746.18868,0.00613
2744.14842,0.00611
2742.10816,0.00607
2740.06790,0.00604
2738.02764,0.00607
2735.98738,0.00609
2733.94712,0.00606
2731.90686,0.00603
2729.86660,0.00604
2727.82635,0.00601
2725.78609,0.00596
2723.74583,0.00603
2721.70557,0.00615
2719.66531,0.00615
2717.62505,0.00606
2715.58479,0.00599
2713.54453,0.00601
2711.50427,0.00603
2709.46401,0.00603
2707.42376,0.00605
2705.38350,0.00604
2703.34324,0.00595
2701.30298,0.00589
2699.26272,0.00592
2697.22246,0.00595
2695.18220,0.00595
2693.14194,0.00601
2691.10168,0.00609
2689.06142,0.00613
2687.02116,0.00616
2684.98091,0.00617
2682.94065,0.00612
2680.90039,0.00607
2678.86013,0.00609
2676.81987,0.00615
2674.77961,0.00609
2672.73935,0.00598
2670.69909,0.00597
2668.65883,0.00602
2666.61857,0.00602
2664.57832,0.00601
2662.53806,0.00609
2660.49780,0.00618
2658.45754,0.00616
2656.41728,0.00609
2654.37702,0.00603
2652.33676,0.00598
2650.29650,0.00599
2648.25624,0.00605
2646.21598,0.00599
2644.17572,0.00590
2642.13547,0.00593
2640.09521,0.00604
2638.05495,0.00615
2636.01469,0.00616
2633.97443,0.00606
2631.93417,0.00599
2629.89391,0.00596
2627.85365,0.00589
2625.81339,0.00582
2623.77313,0.00585
2621.73288,0.00597
2619.69262,0.00610
2617.65236,0.00619
2615.61210,0.00616
2613.57184,0.00608
2611.53158,0.00607
2609.49132,0.00607
2607.45106,0.00602
2605.41080,0.00600
2603.37054,0.00602
2601.33028,0.00605
2599.29003,0.00607
2597.24977,0.00605
2595.20951,0.00604
2593.16925,0.00607
2591.12899,0.00609
2589.08873,0.00606
2587.04847,0.00600
2585.00821,0.00598
2582.96795,0.00598
2580.92769,0.00598
2578.88744,0.00598
2576.84718,0.00599
2574.80692,0.00598
2572.76666,0.00596
2570.72640,0.00597
2568.68614,0.00603
2566.64588,0.00608
2564.60562,0.00607
2562.56536,0.00604
2560.52510,0.00602
2558.48484,0.00603
2556.44459,0.00605
2554.40433,0.00607
2552.36407,0.00605
2550.32381,0.00600
2548.28355,0.00596
2546.24329,0.00594
2544.20303,0.00594
2542.16277,0.00594
2540.12251,0.00594
2538.08225,0.00594
2536.04200,0.00596
2534.00174,0.00602
2531.96148,0.00604
2529.92122,0.00603
2527.88096,0.00604
2525.84070,0.00604
2523.80044,0.00598
2521.76018,0.00593
2519.71992,0.00594
2517.67966,0.00597
2515.63940,0.00602
2513.59915,0.00606
2511.55889,0.00608
2509.51863,0.00611
2507.47837,0.00609
2505.43811,0.00598
2503.39785,0.00589
2501.35759,0.00588
2499.31733,0.00588
2497.27707,0.00590
2495.23681,0.00596
2493.19656,0.00599
2491.15630,0.00598
2489.11604,0.00593
2487.07578,0.00594
2485.03552,0.00599
2482.99526,0.00600
2480.95500,0.00603
2478.91474,0.00609
2476.87448,0.00608
2474.83422,0.00600
2472.79396,0.00595
2470.75371,0.00597
2468.71345,0.00602
2466.67319,0.00606
2464.63293,0.00606
2462.59267,0.00598
2460.55241,0.00588
2458.51215,0.00584
2456.47189,0.00589
2454.43163,0.00590
2452.39137,0.00587
2450.35112,0.00590
2448.31086,0.00594
2446.27060,0.00596
2444.23034,0.00599
2442.19008,0.00598
2440.14982,0.00593
2438.10956,0.00596
2436.06930,0.00600
2434.02904,0.00600
2431.98878,0.00595
2429.94852,0.00590
2427.90827,0.00589
2425.86801,0.00589
2423.82775,0.00590
2421.78749,0.00591
2419.74723,0.00590
2417.70697,0.00587
2415.66671,0.00589
2413.62645,0.00593
2411.58619,0.00594
2409.54593,0.00590
2407.50568,0.00589
2405.46542,0.00588
2403.42516,0.00585
2401.38490,0.00584
2399.34464,0.00585
2397.30438,0.00586
2395.26412,0.00592
2393.22386,0.00602
2391.18360,0.00609
2389.14334,0.00617
2387.10308,0.00636
2385.06283,0.00669
2383.02257,0.00722
2380.98231,0.00810
2378.94205,0.00922
2376.90179,0.01026
2374.86153,0.01115
2372.82127,0.01201
2370.78101,0.01284
2368.74075,0.01353
2366.70049,0.01413
2364.66024,0.01479
2362.61998,0.01530
2360.57972,0.01535
2358.53946,0.01509
2356.49920,0.01464
2354.45894,0.01400
2352.41868,0.01321
2350.37842,0.01242
2348.33816,0.01210
2346.29790,0.01253
2344.25764,0.01305
2342.21739,0.01296
2340.17713,0.01260
2338.13687,0.01244
2336.09661,0.01248
2334.05635,0.01255
2332.01609,0.01270
2329.97583,0.01280
2327.93557,0.01260
2325.89531,0.01240
2323.85505,0.01236
2321.81480,0.01211
2319.77454,0.01160
2317.73428,0.01108
2315.69402,0.01069
2313.65376,0.01044
2311.61350,0.01020
2309.57324,0.00983
2307.53298,0.00932
2305.49272,0.00877
2303.45246,0.00829
2301.41220,0.00792
2299.37195,0.00764
2297.33169,0.00735
2295.29143,0.00708
2293.25117,0.00690
2291.21091,0.00669
2289.17065,0.00642
2287.13039,0.00624
2285.09013,0.00618
2283.04987,0.00616
2281.00961,0.00609
2278.96936,0.00601
2276.92910,0.00600
2274.88884,0.00605
2272.84858,0.00605
2270.80832,0.00604
2268.76806,0.00607
2266.72780,0.00605
2264.68754,0.00604
2262.64728,0.00611
2260.60702,0.00614
2258.56676,0.00605
2256.52651,0.00603
2254.48625,0.00610
2252.44599,0.00613
2250.40573,0.00608
2248.36547,0.00601
2246.32521,0.00598
2244.28495,0.00602
2242.24469,0.00600
2240.20443,0.00593
2238.16417,0.00585
2236.12392,0.00581
2234.08366,0.00584
2232.04340,0.00590
2230.00314,0.00591
2227.96288,0.00587
2225.92262,0.00580
2223.88236,0.00576
2221.84210,0.00576
2219.80184,0.00581
2217.76158,0.00593
2215.72132,0.00598
2213.68107,0.00590
2211.64081,0.00583
2209.60055,0.00587
2207.56029,0.00593
2205.52003,0.00592
2203.47977,0.00591
2201.43951,0.00592
2199.39925,0.00594
2197.35899,0.00595
2195.31873,0.00592
2193.27848,0.00586
2191.23822,0.00583
2189.19796,0.00586
2187.15770,0.00591
2185.11744,0.00587
2183.07718,0.00579
2181.03692,0.00582
2178.99666,0.00592
2176.95640,0.00596
2174.91614,0.00593
2172.87588,0.00590
2170.83563,0.00594
2168.79537,0.00595
2166.75511,0.00590
2164.71485,0.00588
2162.67459,0.00587
2160.63433,0.00587
2158.59407,0.00591
2156.55381,0.00592
2154.51355,0.00587
2152.47329,0.00586
2150.43304,0.00584
2148.39278,0.00582
2146.35252,0.00585
2144.31226,0.00587
2142.27200,0.00585
2140.23174,0.00581
2138.19148,0.00581
2136.15122,0.00581
2134.11096,0.00576
2132.07070,0.00569
2130.03044,0.00565
2127.99019,0.00566
2125.94993,0.00570
2123.90967,0.00577
2121.86941,0.00579
2119.82915,0.00579
2117.78889,0.00587
2115.74863,0.00597
2113.70837,0.00594
2111.66811,0.00584
2109.62785,0.00578
2107.58760,0.00578
2105.54734,0.00578
2103.50708,0.00575
2101.46682,0.00573
2099.42656,0.00580
2097.38630,0.00585
2095.34604,0.00585
2093.30578,0.00590
2091.26552,0.00599
2089.22526,0.00597
2087.18500,0.00582
2085.14475,0.00570
2083.10449,0.00571
2081.06423,0.00578
2079.02397,0.00583
2076.98371,0.00584
2074.94345,0.00585
2072.90319,0.00583
2070.86293,0.00580
2068.82267,0.00588
2066.78241,0.00612
2064.74216,0.00621
2062.70190,0.00600
2060.66164,0.00581
2058.62138,0.00574
2056.58112,0.00564
2054.54086,0.00560
2052.50060,0.00565
2050.46034,0.00570
2048.42008,0.00568
2046.37982,0.00566
2044.33956,0.00579
2042.29931,0.00606
2040.25905,0.00607
2038.21879,0.00583
2036.17853,0.00572
2034.13827,0.00574
2032.09801,0.00564
2030.05775,0.00552
2028.01749,0.00553
2025.97723,0.00562
2023.93697,0.00574
2021.89672,0.00592
2019.85646,0.00634
2017.81620,0.00680
2015.77594,0.00669
2013.73568,0.00613
2011.69542,0.00583
2009.65516,0.00584
2007.61490,0.00585
2005.57464,0.00579
2003.53438,0.00572
2001.49412,0.00575
1999.45387,0.00582
1997.41361,0.00585
1995.37335,0.00621
1993.33309,0.00710
1991.29283,0.00757
1989.25257,0.00711
