TITLE SAMPLE NAME:,Polyethylene High Density (HDPE)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.86747
FIRSTY:,98.27430926
LASTX:,599.83616
LASTY:,97.67423085
NPOINTS:,1681
3996.86747,98.27430926
3994.82721,98.18835859
3992.78695,98.12733406
3990.7467,98.12733406
3988.70644,98.18383695
3986.66618,98.22453918
3984.62592,98.18609774
3982.58566,98.12959355
3980.5454,98.13637233
3978.50514,98.16349216
3976.46488,98.10700097
3974.42462,98.00314212
3972.38436,97.97155473
3970.34411,98.01668269
3968.30385,98.11151907
3966.26359,98.19061948
3964.22333,98.14993131
3962.18307,98.03925446
3960.14281,98.00765543
3958.10255,98.0505423
3956.06229,98.07763841
3954.02203,98.03473969
3951.98177,97.86333238
3949.94151,97.61352585
3947.90126,97.56184394
3945.861,97.67872902
3943.82074,97.64724619
3941.78048,97.64724619
3939.74022,97.87009277
3937.69996,98.03473969
3935.6597,97.92870241
3933.61944,97.588805
3931.57918,97.33969923
3929.53892,97.44958635
3927.49867,97.588805
3925.45841,97.48549472
3923.41815,97.42266376
3921.37789,97.47202753
3919.33763,97.36435698
3917.29737,97.26800311
3915.25711,97.54836621
3913.21685,97.97381063
3911.17659,98.17027329
3909.13633,98.03699705
3907.09607,97.48100545
3905.05582,96.58951825
3903.01556,95.97541529
3900.9753,96.05500523
3898.93504,96.59396647
3896.89478,97.21202726
3894.85452,97.44061133
3892.81426,97.21202726
3890.774,97.12476925
3888.73374,97.26128431
3886.69348,97.04652746
3884.65323,96.69855849
3882.61297,96.58284632
3880.57271,96.66071427
3878.53245,97.08452274
3876.49219,97.29040247
3874.45193,96.91031384
3872.41167,96.35849317
3870.37141,96.08818719
3868.33115,96.31191097
3866.29089,96.48726585
3864.25063,96.38068309
3862.21038,96.65626298
3860.17012,97.14713563
3858.12986,97.12700565
3856.0896,96.40731774
3854.04934,95.26206686
3852.00908,95.29716917
3849.96882,96.51837468
3847.92856,97.36435698
3845.8883,97.46305044
3843.84804,96.97951325
3841.80779,96.23875587
3839.76753,95.54544775
3837.72727,95.41134103
3835.68701,95.96657603
3833.64675,96.54504738
3831.60649,96.92147169
3829.56623,97.13147862
3827.52597,97.14266194
3825.48571,96.99291239
3823.44545,96.52504216
3821.40519,95.81422696
3819.36494,95.73704092
3817.32468,96.17894302
3815.28442,96.78097656
3813.24416,97.5169254
3811.2039,97.87910736
3809.16364,97.60228833
3807.12338,97.01748229
3805.08312,96.64736102
3803.04286,96.23653991
3801.0026,95.96878577
3798.96235,96.32299993
3796.92209,96.84562361
3794.88183,97.43163713
3792.84157,97.94899854
3790.80131,98.1747943
3788.76105,98.12733406
3786.72079,97.86558579
3784.68053,97.63150858
3782.64027,97.57532354
3780.60001,97.46753888
3778.55975,97.48325006
3776.5195,97.82953742
3774.47924,98.03248238
3772.43898,97.75973148
3770.39872,97.22993603
3768.35846,96.97058151
3766.3182,97.06664076
3764.27794,97.29936366
3762.23768,97.344182
3760.19742,96.95272052
3758.15716,96.60063917
3756.11691,96.56950382
3754.07665,96.20995245
3752.03639,95.25110005
3749.99613,94.67602159
3747.95587,94.95765914
3745.91561,95.16341093
3743.87535,95.38498154
3741.83509,95.88926727
3739.79483,96.06385263
3737.75457,95.54324776
3735.71431,94.70436578
3733.67406,94.85495012
3731.6338,95.94889996
3729.59354,96.69410546
3727.55328,96.71859967
3725.51302,96.42063782
3723.47276,96.34740013
3721.4325,96.6050879
3719.39224,97.02641834
3717.35198,97.344182
3715.31172,97.20083596
3713.27147,96.44728351
3711.23121,95.77893419
3709.19095,96.25205266
3707.15069,97.14489876
3705.11043,97.55510484
3703.07017,97.45407418
3701.02991,97.3957486
3698.98965,97.65174312
3696.94939,97.83629548
3694.90913,97.72147195
3692.86887,97.14042517
3690.82862,96.19887651
3688.78836,95.95552811
3686.7481,96.80549277
3684.70784,97.56633694
3682.66758,97.77098713
3680.62732,97.46305044
3678.58706,96.71191881
3676.5468,95.70177659
3674.50654,95.43990536
3672.46628,95.86056845
3670.42603,96.01520201
3668.38577,96.58284632
3666.34551,97.55510484
