TITLE SAMPLE NAME:,PP_GREEN_LID_UPMA
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,97.587
LASTX:,599.82981
LASTY:,94.138
NPOINTS:,1681
3996.82516,97.587
3994.78492,97.531
3992.74468,97.500
3990.70444,97.498
3988.66421,97.495
3986.62397,97.500
3984.58373,97.521
3982.5435,97.544
3980.50326,97.556
3978.46302,97.545
3976.42278,97.513
3974.38255,97.486
3972.34231,97.480
3970.30207,97.479
3968.26183,97.476
3966.2216,97.488
3964.18136,97.509
3962.14112,97.512
3960.10088,97.508
3958.06065,97.513
3956.02041,97.516
3953.98017,97.522
3951.93993,97.533
3949.8997,97.531
3947.85946,97.518
3945.81922,97.508
3943.77898,97.481
3941.73875,97.449
3939.69851,97.452
3937.65827,97.477
3935.61803,97.491
3933.5778,97.490
3931.53756,97.500
3929.49732,97.520
3927.45708,97.527
3925.41685,97.525
3923.37661,97.534
3921.33637,97.550
3919.29613,97.541
3917.2559,97.497
3915.21566,97.466
3913.17542,97.488
3911.13518,97.539
3909.09495,97.568
3907.05471,97.542
3905.01447,97.482
3902.97423,97.454
3900.934,97.472
3898.89376,97.491
3896.85352,97.500
3894.81329,97.509
3892.77305,97.502
3890.73281,97.471
3888.69257,97.444
3886.65234,97.435
3884.6121,97.442
3882.57186,97.462
3880.53162,97.471
3878.49139,97.475
3876.45115,97.492
3874.41091,97.508
3872.37067,97.512
3870.33044,97.483
3868.2902,97.448
3866.24996,97.470
3864.20972,97.511
3862.16949,97.520
3860.12925,97.525
3858.08901,97.557
3856.04877,97.591
3854.00854,97.542
3851.9683,97.409
3849.92806,97.347
3847.88782,97.388
3845.84759,97.456
3843.80735,97.501
3841.76711,97.530
3839.72687,97.555
3837.68664,97.563
3835.6464,97.554
3833.60616,97.542
3831.56592,97.533
3829.52569,97.536
3827.48545,97.550
3825.44521,97.573
3823.40497,97.583
3821.36474,97.545
3819.3245,97.486
3817.28426,97.446
3815.24402,97.403
3813.20379,97.388
3811.16355,97.433
3809.12331,97.497
3807.08307,97.526
3805.04284,97.530
3803.0026,97.540
3800.96236,97.545
3798.92213,97.553
3796.88189,97.569
3794.84165,97.571
3792.80141,97.562
3790.76118,97.553
3788.72094,97.542
3786.6807,97.530
3784.64046,97.516
3782.60023,97.496
3780.55999,97.470
3778.51975,97.450
3776.47951,97.449
3774.43928,97.468
3772.39904,97.501
3770.3588,97.527
3768.31856,97.530
3766.27833,97.521
3764.23809,97.520
3762.19785,97.540
3760.15761,97.555
3758.11738,97.544
3756.07714,97.543
3754.0369,97.586
3751.99666,97.615
3749.95643,97.571
3747.91619,97.528
3745.87595,97.521
3743.83571,97.504
3741.79548,97.511
3739.75524,97.569
3737.715,97.608
3735.67476,97.548
3733.63453,97.444
3731.59429,97.412
3729.55405,97.435
3727.51381,97.462
3725.47358,97.489
3723.43334,97.508
3721.3931,97.506
3719.35286,97.497
3717.31263,97.514
3715.27239,97.557
3713.23215,97.587
3711.19191,97.560
3709.15168,97.503
3707.11144,97.477
3705.0712,97.479
3703.03097,97.491
3700.99073,97.507
3698.95049,97.522
3696.91025,97.526
3694.87002,97.535
3692.82978,97.568
3690.78954,97.599
3688.7493,97.575
3686.70907,97.529
3684.66883,97.518
3682.62859,97.528
3680.58835,97.538
3678.54812,97.552
3676.50788,97.557
3674.46764,97.549
3672.4274,97.554
3670.38717,97.534
3668.34693,97.489
3666.30669,97.489
3664.26645,97.520
3662.22622,97.535
3660.18598,97.535
3658.14574,97.519
3656.1055,97.494
3654.06527,97.518
3652.02503,97.582
3649.98479,97.587
3647.94455,97.512
3645.90432,97.464
3643.86408,97.472
3641.82384,97.486
3639.7836,97.487
3637.74337,97.491
3635.70313,97.505
3633.66289,97.520
3631.62265,97.515
3629.58242,97.472
3627.54218,97.430
3625.50194,97.438
3623.4617,97.476
3621.42147,97.516
3619.38123,97.525
3617.34099,97.488
3615.30075,97.455
3613.26052,97.456
3611.22028,97.469
3609.18004,97.468
3607.13981,97.460
3605.09957,97.464
3603.05933,97.475
3601.01909,97.479
3598.97886,97.468
