TITLE SAMPLE NAME:,PET_SPRITE_BOTTLE
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.86747
FIRSTY:,98.06634745
LASTX:,599.83616
LASTY:,97.68772598
NPOINTS:,1681
3996.86747,98.06634745
3994.82721,98.00088554
3992.78695,97.94899854
3990.7467,97.94674321
3988.70644,98.01216896
3986.66618,98.0979654
3984.62592,98.10926
3982.58566,98.04602701
3980.5454,98.02345367
3978.50514,98.03473969
3976.46488,97.98509093
3974.42462,97.91066494
3972.38436,97.88812277
3970.34411,97.93095733
3968.30385,98.02796792
3966.26359,98.09344793
3964.22333,98.03022513
3962.18307,97.90841049
3960.14281,97.87910736
3958.10255,97.92193797
3956.06229,97.94448793
3954.02203,97.90164745
3951.98177,97.7349736
3949.94151,97.48100545
3947.90126,97.3957486
3945.861,97.47651639
3943.82074,97.45407418
3941.78048,97.51243468
3939.74022,97.76423358
3937.69996,97.91291944
3935.6597,97.80250985
3933.61944,97.45407418
3931.57918,97.17398208
3929.53892,97.29264269
3927.49867,97.46978318
3925.45841,97.38453615
3923.41815,97.30384457
3921.37789,97.33969923
3919.33763,97.23441373
3917.29737,97.14042517
3915.25711,97.42042054
3913.21685,97.86107902
3911.17659,98.07989675
3909.13633,97.96027599
3907.09607,97.3957486
3905.05582,96.48504417
3903.01556,95.85615401
3900.9753,95.90030756
3898.93504,96.40731774
3896.89478,97.03535521
3894.85452,97.26576346
3892.81426,96.99961265
3890.774,96.88577108
3888.73374,97.057701
3886.69348,96.8679257
3884.65323,96.51170766
3882.61297,96.39399949
3880.57271,96.49170935
3878.53245,96.93486281
3876.49219,97.13818846
3874.45193,96.74310008
3872.41167,96.18558706
3870.37141,95.90030756
3868.33115,96.0859747
3866.29089,96.24540404
3864.25063,96.15679955
3862.21038,96.45838805
3860.17012,96.94602349
3858.12986,96.91031384
3856.0896,96.17894302
3854.04934,95.03202859
3852.00908,95.09769707
3849.96882,96.34740013
3847.92856,97.20531232
3845.8883,97.30384457
3843.84804,96.81663856
3841.80779,96.09482495
3839.76753,95.43990536
3837.72727,95.31472518
3835.68701,95.82967163
3833.64675,96.37846387
3831.60649,96.75869448
3829.56623,96.99514576
3827.52597,97.0152484
3825.48571,96.87238674
3823.44545,96.42507826
3821.40519,95.67974298
3819.36494,95.53884794
3817.32468,95.95773759
3815.28442,96.57617484
3813.24416,97.33745793
3811.2039,97.70572238
3809.16364,97.43612413
3807.12338,96.87238674
3805.08312,96.50281901
3803.04286,96.06164071
3801.0026,95.74585903
3798.96235,96.09703764
3796.92209,96.65626298
3794.88183,97.27920215
3792.84157,97.8205274
3790.80131,98.05280002
3788.76105,98.00991217
3786.72079,97.77548976
3784.68053,97.57083014
3782.64027,97.51468001
3780.60001,97.38677853
3778.55975,97.39350601
3776.5195,97.72147195
3774.47924,97.89939321
3772.43898,97.61577351
3770.39872,97.08452274
3768.35846,96.83893398
3766.3182,96.95495296
3764.27794,97.20755058
3762.23768,97.25008733
3760.19742,96.82778563
3758.15716,96.46505139
3756.11691,96.45394608
3754.07665,96.09039972
3752.03639,95.08674918
3749.99613,94.50178244
3747.95587,94.8374788
3745.91561,95.06047937
3743.87535,95.26206686
3741.83509,95.76790787
3739.79483,95.91134913
3737.75457,95.3278943
3735.71431,94.46697311
3733.67406,94.62589495
3731.6338,95.77011303
3729.59354,96.59396647
3727.55328,96.64958643
3725.51302,96.32965392
3723.47276,96.23210816
3721.4325,96.49393118
3719.39224,96.92816702
3717.35198,97.23217485
3715.31172,97.06887583
3713.27147,96.29860591
3711.23121,95.62908492
3709.19095,96.12580726
3707.15069,97.02865248
3705.11043,97.4383677
3703.07017,97.33073433
3701.02991,97.27472238
3698.98965,97.55510484
3696.94939,97.74847712
3694.90913,97.60004098
3692.86887,96.9884458
3690.82862,96.03952424
3688.78836,95.79216746
3686.7481,96.66071427
3684.70784,97.46529464
3682.66758,97.70572238
3680.62732,97.3957486
3678.58706,96.61621061
3676.5468,95.57845368
3674.50654,95.29058651
3672.46628,95.71059145
3670.42603,95.86939794
3668.38577,96.43395974
3666.34551,97.40023394
