TITLE SAMPLE NAME:,PET_PAPERBOAT
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99.149
LASTX:,599.82981
LASTY:,99.324
NPOINTS:,1681
3996.82516,99.149
3994.78492,99.116
3992.74468,99.086
3990.70444,99.074
3988.66421,99.09
3986.62397,99.104
3984.58373,99.101
3982.5435,99.12
3980.50326,99.179
3978.46302,99.213
3976.42278,99.181
3974.38255,99.14
3972.34231,99.128
3970.30207,99.122
3968.26183,99.106
3966.2216,99.096
3964.18136,99.075
3962.14112,99.056
3960.10088,99.075
3958.06065,99.093
3956.02041,99.105
3953.98017,99.131
3951.93993,99.098
3949.8997,98.994
3947.85946,98.966
3945.81922,99.016
3943.77898,99.005
3941.73875,99.016
3939.69851,99.075
3937.65827,99.106
3935.61803,99.094
3933.5778,99.002
3931.53756,98.952
3929.49732,99.047
3927.45708,99.112
3925.41685,99.07
3923.37661,99.062
3921.33637,99.046
3919.29613,98.963
3917.2559,98.944
3915.21566,99.029
3913.17542,99.107
3911.13518,99.155
3909.09495,99.204
3907.05471,99.138
3905.01447,98.979
3902.97423,98.923
3900.934,98.917
3898.89376,98.972
3896.85352,99.164
3894.81329,99.207
3892.77305,99.03
3890.73281,99.037
3888.69257,99.165
3886.65234,99.038
3884.6121,98.965
3882.57186,98.962
3880.53162,98.922
3878.49139,99.126
3876.45115,99.235
3874.41091,99.142
3872.37067,99.056
3870.33044,98.993
3868.2902,99.155
3866.24996,99.186
3864.20972,99.01
3862.16949,99.045
3860.12925,99.248
3858.08901,99.346
3856.04877,99.045
3854.00854,98.613
3851.9683,98.842
3849.92806,99.302
3847.88782,99.398
3845.84759,99.253
3843.80735,99.145
3841.76711,99.165
3839.72687,99.148
3837.68664,99.169
3835.6464,99.285
3833.60616,99.247
3831.56592,99.152
3829.52569,99.165
3827.48545,99.186
3825.44521,99.26
3823.40497,99.211
3821.36474,99.083
3819.3245,99.242
3817.28426,99.188
3815.24402,99.062
3813.20379,99.24
3811.16355,99.37
3809.12331,99.271
3807.08307,99.213
3805.04284,99.359
3803.0026,99.234
3800.96236,99.073
3798.92213,99.189
3796.88189,99.172
3794.84165,99.15
3792.80141,99.186
3790.76118,99.184
3788.72094,99.17
3786.6807,99.113
3784.64046,99.091
3782.60023,99.117
3780.55999,99.061
3778.51975,99.101
3776.47951,99.269
3774.43928,99.316
3772.39904,99.182
3770.3588,99.03
3768.31856,99.057
3766.27833,99.136
3764.23809,99.241
3762.19785,99.251
3760.15761,99.088
3758.11738,99.094
3756.07714,99.29
3754.0369,99.264
3751.99666,99.036
3749.95643,99.149
3747.91619,99.429
3745.87595,99.208
3743.83571,99.035
3741.79548,99.344
3739.75524,99.455
3737.715,99.212
3735.67476,98.957
3733.63453,98.986
3731.59429,99.175
3729.55405,99.263
3727.51381,99.129
3725.47358,99.004
3723.43334,99.004
3721.3931,99.027
3719.35286,99.088
3717.31263,99.205
3715.27239,99.238
3713.23215,99.044
3711.19191,98.904
3709.15168,99.064
3707.11144,99.273
3705.0712,99.282
3703.03097,99.106
3700.99073,99.048
3698.95049,99.154
3696.91025,99.206
3694.87002,99.22
3692.82978,99.146
3690.78954,98.939
3688.7493,98.88
3686.70907,99.106
3684.66883,99.261
3682.62859,99.228
3680.58835,99.18
3678.54812,99.073
3676.50788,98.88
3674.46764,99.068
3672.4274,99.264
3670.38717,99.02
3668.34693,99.04
3666.30669,99.239
3664.26645,99.223
3662.22622,99.163
3660.18598,99.167
3658.14574,99.1
3656.1055,99.128
3654.06527,99.355
3652.02503,99.248
3649.98479,98.859
3647.94455,98.834
3645.90432,99.111
3643.86408,99.243
3641.82384,99.194
3639.7836,99.163
3637.74337,99.177
3635.70313,99.196
3633.66289,99.245
3631.62265,99.16
3629.58242,98.873
3627.54218,98.955
3625.50194,99.265
3623.4617,99.291
3621.42147,99.055
3619.38123,98.877
3617.34099,98.997
3615.30075,99.083
3613.26052,99.023
3611.22028,99.028
3609.18004,99.02
3607.13981,99.063
3605.09957,99.176
3603.05933,99.171
3601.01909,99.109
3598.97886,99.104
3596.93862,99.067
