TITLE SAMPLE NAME:,Polyethylene High Density (HDPE)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.86747000
FIRSTY:,98.62340668
LASTX:,599.83616000
LASTY:,98.59388956
NPOINTS:,1681.00000000
3996.86747,98.62340668
3994.82721,98.54849585
3992.78695,98.54622671
3990.74670,98.59843008
3988.70644,98.66656299
3986.66618,98.70064710
3984.62592,98.67110686
3982.58566,98.63930418
3980.54540,98.65520424
3978.50514,98.66201933
3976.46488,98.60524125
3974.42462,98.55076504
3972.38436,98.55076504
3970.34411,98.58934925
3968.30385,98.65974758
3966.26359,98.68701204
3964.22333,98.58707917
3962.18307,98.44643640
3960.14281,98.41923840
3958.10255,98.48951527
3956.06229,98.55757292
3954.02203,98.54168859
3951.98177,98.37619027
3949.94151,98.12733406
3947.90126,98.06408942
3945.86100,98.15445139
3943.82074,98.13411269
3941.78048,98.15445139
3939.74022,98.35354092
3937.69996,98.49631892
3935.65970,98.42377088
3933.61944,98.14767135
3931.57918,97.92870241
3929.53892,98.02345367
3927.49867,98.13411269
3925.45841,98.03699705
3923.41815,97.98734715
3921.37789,98.01668269
3919.33763,97.90390174
3917.29737,97.83629548
3915.25711,98.10926000
3913.21685,98.49631892
3911.17659,98.66201933
3909.13633,98.53034422
3907.09607,98.03248238
3905.05582,97.25008733
3903.01556,96.69855849
3900.97530,96.72082672
3898.93504,97.16055793
3896.89478,97.71022200
3894.85452,97.91066494
3892.81426,97.67198184
3890.77400,97.57532354
3888.73374,97.72372210
3886.69348,97.57981716
3884.65323,97.29712329
3882.61297,97.16950716
3880.57271,97.21650414
3878.53245,97.59779368
3876.49219,97.76423358
3874.45193,97.38229381
3872.41167,96.83447448
3870.37141,96.55616318
3868.33115,96.78543359
3866.29089,96.98174631
3864.25063,96.91031384
3862.21038,97.17621962
3860.17012,97.61802122
3858.12986,97.60228833
3856.08960,96.95718546
3854.04934,95.92460069
3852.00908,95.99088594
3849.96882,97.12476925
3847.92856,97.87910736
3845.88830,97.92193797
3843.84804,97.43612413
3841.80779,96.73864500
3839.76753,96.12359390
3837.72727,96.07491303
3835.68701,96.62510970
3833.64675,97.13595179
3831.60649,97.46080630
3829.56623,97.65399166
3827.52597,97.65174312
3825.48571,97.48100545
3823.44545,97.02195021
3821.40519,96.36736853
3819.36494,96.30747575
3817.32468,96.71859967
3815.28442,97.30384457
3813.24416,98.00314212
3811.20390,98.29694037
3809.16364,97.99411611
3807.12338,97.45407418
3805.08312,97.12924211
3803.04286,96.75869448
3801.00260,96.50948542
3798.96235,96.83224481
3796.92209,97.33073433
3794.88183,97.91742860
3792.84157,98.41923840
3790.80131,98.60751175
3788.76105,98.54168859
3786.72079,98.31957668
3784.68053,98.13185309
3782.64027,98.06860554
3780.60001,97.94674321
3778.55975,97.97832260
3776.51950,98.30373071
3774.47924,98.45097013
3772.43898,98.17253377
3770.39872,97.71022200
3768.35846,97.51917083
3766.31820,97.62026899
3764.27794,97.81827503
3762.23768,97.81377043
3760.19742,97.41369121
3758.15716,97.10017218
3756.11691,97.08228731
3754.07665,96.71859967
3752.03639,95.78775617
3749.99613,95.25110005
3747.95587,95.53664810
3745.91561,95.78334508
3743.87535,96.06827664
3741.83509,96.51837468
3739.79483,96.58729422
3737.75457,96.05279351
3735.71431,95.31691991
3733.67406,95.51245322
3731.63380,96.54060142
3729.59354,97.24784809
3727.55328,97.29040247
3725.51302,97.02195021
3723.47276,96.94155907
3721.43250,97.19635979
3719.39224,97.61352585
3717.35198,97.88136113
3715.31172,97.69897334
3713.27147,96.95941801
3711.23121,96.36071193
3709.19095,96.86346487
3707.15069,97.70347265
3705.11043,98.05054230
3703.07017,97.92644755
3701.02991,97.87459996
3698.98965,98.13411269
3696.94939,98.31052153
3694.90913,98.17479430
3692.86887,97.59105209
3690.82862,96.68965264
3688.78836,96.48282255
3686.74810,97.34642345
3684.70784,98.11151907
3682.66758,98.28109805
3680.62732,97.91742860
3678.58706,97.15384655
3676.54680,96.22989236
3674.50654,96.05058184
3672.46628,96.43395974
3670.42603,96.54504738
3668.38577,97.09122933
