TITLE SAMPLE NAME:,PP_CHOCO_AMUL
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.979
LASTX:,599.82981
LASTY:,100.1
NPOINTS:,1681
3396.99535,99.336
3394.95511,99.328
3392.91487,99.335
3390.87464,99.364
3388.8344,99.389
3386.79416,99.378
3384.75392,99.354
3382.71369,99.351
3380.67345,99.365
3378.63321,99.373
3376.59297,99.375
3374.55274,99.383
3372.5125,99.39
3370.47226,99.401
3368.43202,99.419
3366.39179,99.42
3364.35155,99.411
3362.31131,99.424
3360.27107,99.455
3358.23084,99.472
3356.1906,99.462
3354.15036,99.451
3352.11012,99.461
3350.06989,99.477
3348.02965,99.472
3345.98941,99.465
3343.94917,99.475
3341.90894,99.48
3339.8687,99.475
3337.82846,99.477
3335.78822,99.481
3333.74799,99.473
3331.70775,99.469
3329.66751,99.485
3327.62727,99.5
3325.58704,99.487
3323.5468,99.466
3321.50656,99.472
3319.46633,99.493
3317.42609,99.492
3315.38585,99.468
3313.34561,99.455
3311.30538,99.469
3309.26514,99.489
3307.2249,99.498
3305.18466,99.482
3303.14443,99.447
3301.10419,99.434
3299.06395,99.448
3297.02371,99.452
3294.98348,99.458
3292.94324,99.481
3290.903,99.495
3288.86276,99.491
3286.82253,99.467
3284.78229,99.433
3282.74205,99.427
3280.70181,99.456
3278.66158,99.485
3276.62134,99.492
3274.5811,99.477
3272.54086,99.463
3270.50063,99.473
3268.46039,99.494
3266.42015,99.495
3264.37991,99.481
3262.33968,99.47
3260.29944,99.455
3258.2592,99.441
3256.21896,99.445
3254.17873,99.455
3252.13849,99.457
3250.09825,99.452
3248.05801,99.435
3246.01778,99.407
3243.97754,99.396
3241.9373,99.418
3239.89706,99.437
3237.85683,99.419
3235.81659,99.374
3233.77635,99.345
3231.73611,99.349
3229.69588,99.368
3227.65564,99.376
3225.6154,99.366
3223.57517,99.356
3221.53493,99.369
3219.49469,99.392
3217.45445,99.391
3215.41422,99.37
3213.37398,99.36
3211.33374,99.371
3209.2935,99.389
3207.25327,99.392
3205.21303,99.365
3203.17279,99.323
3201.13255,99.291
3199.09232,99.285
3197.05208,99.328
3195.01184,99.384
3192.9716,99.393
3190.93137,99.366
3188.89113,99.347
3186.85089,99.342
3184.81065,99.342
3182.77042,99.341
3180.73018,99.343
3178.68994,99.339
3176.6497,99.324
3174.60947,99.317
3172.56923,99.328
3170.52899,99.328
3168.48875,99.307
3166.44852,99.293
3164.40828,99.299
3162.36804,99.308
3160.3278,99.318
3158.28757,99.323
3156.24733,99.313
3154.20709,99.306
3152.16685,99.309
3150.12662,99.311
3148.08638,99.312
3146.04614,99.315
3144.0059,99.316
3141.96567,99.31
3139.92543,99.299
3137.88519,99.304
3135.84495,99.322
3133.80472,99.335
3131.76448,99.348
3129.72424,99.348
3127.68401,99.317
3125.64377,99.281
3123.60353,99.271
3121.56329,99.274
3119.52306,99.267
3117.48282,99.243
3115.44258,99.219
3113.40234,99.223
3111.36211,99.255
3109.32187,99.279
3107.28163,99.272
3105.24139,99.263
3103.20116,99.263
3101.16092,99.259
3099.12068,99.263
3097.08044,99.275
3095.04021,99.282
3092.99997,99.282
3090.95973,99.265
3088.91949,99.242
3086.87926,99.248
3084.83902,99.271
3082.79878,99.278
3080.75854,99.264
3078.71831,99.246
3076.67807,99.25
3074.63783,99.276
3072.59759,99.284
3070.55736,99.251
3068.51712,99.216
3066.47688,99.222
3064.43664,99.245
3062.39641,99.242
3060.35617,99.218
3058.31593,99.218
3056.27569,99.262
3054.23546,99.297
3052.19522,99.284
3050.15498,99.251
3048.11474,99.23
3046.07451,99.22
3044.03427,99.215
3041.99403,99.219
3039.95379,99.23
3037.91356,99.238
3035.87332,99.247
3033.83308,99.256
3031.79285,99.25
3029.75261,99.251
3027.71237,99.272
3025.67213,99.274
3023.6319,99.248
3021.59166,99.227
3019.55142,99.224
3017.51118,99.217
3015.47095,99.204
3013.43071,99.199
3011.39047,99.211
3009.35023,99.232
3007.31,99.238
3005.26976,99.234
3003.22952,99.24
3001.18928,99.249
2999.14905,99.241
2997.10881,99.222
2995.06857,99.21
2993.02833,99.204
2990.9881,99.207
2988.94786,99.228
2986.90762,99.251
2984.86738,99.251
2982.82715,99.23
2980.78691,99.204
2978.74667,99.183
2976.70643,99.16
2974.6662,99.121
2972.62596,99.073
2970.58572,99.01
2968.54548,98.925
2966.50525,98.828
2964.46501,98.732
2962.42477,98.621
2960.38453,98.5
2958.3443,98.425
2956.30406,98.392
2954.26382,98.351
2952.22358,98.283
2950.18335,98.199
2948.14311,98.144
2946.10287,98.176
2944.06264,98.287
2942.0224,98.414
2939.98216,98.516
2937.94192,98.576
2935.90169,98.569
2933.86145,98.517
2931.82121,98.467
2929.78097,98.407
2927.74074,98.309
2925.7005,98.187
2923.66026,98.052
2921.62002,97.918
2919.57979,97.802
2917.53955,97.711
2915.49931,97.675
2913.45907,97.698
2911.41884,97.73
2909.3786,97.753
2907.33836,97.807
2905.29812,97.898
2903.25789,97.98
2901.21765,98.041
2899.17741,98.106
2897.13717,98.172
2895.09694,98.234
2893.0567,98.298
2891.01646,98.337
2888.97622,98.348
2886.93599,98.355
2884.89575,98.363
2882.85551,98.372
2880.81527,98.368
2878.77504,98.34
2876.7348,98.308
2874.69456,98.286
2872.65432,98.262
2870.61409,98.24
2868.57385,98.228
2866.53361,98.231
2864.49337,98.26
2862.45314,98.318
2860.4129,98.383
