TITLE SAMPLE NAME:,HDPE_BODYWASH
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.920
LASTX:,599.82981
LASTY:,98.866
NPOINTS:,1681
3996.82516,98.920
3994.78492,98.901
3992.74468,98.894
3990.70444,98.868
3988.66421,98.840
3986.62397,98.835
3984.58373,98.853
3982.54350,98.890
3980.50326,98.937
3978.46302,98.973
3976.42278,98.966
3974.38255,98.926
3972.34231,98.892
3970.30207,98.888
3968.26183,98.900
3966.22160,98.906
3964.18136,98.879
3962.14112,98.853
3960.10088,98.884
3958.06065,98.924
3956.02041,98.937
3953.98017,98.944
3951.93993,98.905
3949.89970,98.809
3947.85946,98.786
3945.81922,98.836
3943.77898,98.822
3941.73875,98.822
3939.69851,98.868
3937.65827,98.879
3935.61803,98.849
3933.57780,98.762
3931.53756,98.737
3929.49732,98.851
3927.45708,98.918
3925.41685,98.852
3923.37661,98.812
3921.33637,98.785
3919.29613,98.703
3917.25590,98.690
3915.21566,98.803
3913.17542,98.903
3911.13518,98.941
3909.09495,98.986
3907.05471,98.962
3905.01447,98.859
3902.97423,98.807
3900.93400,98.743
3898.89376,98.731
3896.85352,98.886
3894.81329,98.936
3892.77305,98.783
3890.73281,98.806
3888.69257,98.947
3886.65234,98.830
3884.61210,98.745
3882.57186,98.717
3880.53162,98.654
3878.49139,98.861
3876.45115,99.006
3874.41091,98.946
3872.37067,98.875
3870.33044,98.812
3868.29020,98.960
3866.24996,98.987
3864.20972,98.804
3862.16949,98.824
3860.12925,99.034
3858.08901,99.159
3856.04877,98.891
3854.00854,98.446
3851.96830,98.586
3849.92806,98.973
3847.88782,99.065
3845.84759,98.949
3843.80735,98.871
3841.76711,98.903
3839.72687,98.874
3837.68664,98.872
3835.64640,98.974
3833.60616,98.949
3831.56592,98.872
3829.52569,98.891
3827.48545,98.916
3825.44521,99.000
3823.40497,98.953
3821.36474,98.826
3819.32450,98.996
3817.28426,98.962
3815.24402,98.852
3813.20379,99.036
3811.16355,99.168
3809.12331,99.058
3807.08307,98.977
3805.04284,99.128
3803.00260,99.028
3800.96236,98.851
3798.92213,98.921
3796.88189,98.888
3794.84165,98.888
3792.80141,98.954
3790.76118,98.961
3788.72094,98.945
3786.68070,98.911
3784.64046,98.943
3782.60023,99.009
3780.55999,98.937
3778.51975,98.920
3776.47951,99.047
3774.43928,99.089
3772.39904,98.973
3770.35880,98.839
3768.31856,98.862
3766.27833,98.923
3764.23809,99.005
3762.19785,98.997
3760.15761,98.826
3758.11738,98.837
3756.07714,99.038
3754.03690,99.009
3751.99666,98.780
3749.95643,98.905
3747.91619,99.214
3745.87595,99.006
3743.83571,98.803
3741.79548,99.094
3739.75524,99.238
3737.71500,99.012
3735.67476,98.688
3733.63453,98.637
3731.59429,98.845
3729.55405,99.014
3727.51381,98.919
3725.47358,98.771
3723.43334,98.752
3721.39310,98.804
3719.35286,98.911
3717.31263,99.036
3715.27239,99.037
3713.23215,98.782
3711.19191,98.578
3709.15168,98.714
3707.11144,98.939
3705.07120,98.984
3703.03097,98.842
3700.99073,98.798
3698.95049,98.913
3696.91025,98.983
3694.87002,99.019
3692.82978,98.948
3690.78954,98.708
3688.74930,98.618
3686.70907,98.866
3684.66883,99.080
3682.62859,99.100
3680.58835,99.070
3678.54812,98.947
3676.50788,98.711
3674.46764,98.846
3672.42740,99.016
3670.38717,98.762
3668.34693,98.770
3666.30669,98.967
3664.26645,98.958
3662.22622,98.901
3660.18598,98.899
3658.14574,98.817
3656.10550,98.821
3654.06527,99.036
3652.02503,98.942
3649.98479,98.569
3647.94455,98.547
3645.90432,98.818
3643.86408,98.954
3641.82384,98.929
3639.78360,98.937
3637.74337,98.977
3635.70313,98.997
3633.66289,99.054
3631.62265,98.990
3629.58242,98.692
3627.54218,98.733
3625.50194,99.038
3623.46170,99.092
3621.42147,98.879
3619.38123,98.684
3617.34099,98.758
3615.30075,98.830
3613.26052,98.806
3611.22028,98.845
3609.18004,98.824
3607.13981,98.821
3605.09957,98.910
3603.05933,98.900
3601.01909,98.824
3598.97886,98.819
