TITLE SAMPLE NAME:,HDPE_BOOMER
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.143
LASTX:,599.82981
LASTY:,95.752
NPOINTS:,1681
3996.82516,98.143
3994.78492,98.122
3992.74468,98.113
3990.70444,98.13
3988.66421,98.155
3986.62397,98.163
3984.58373,98.153
3982.5435,98.143
3980.50326,98.154
3978.46302,98.18
3976.42278,98.194
3974.38255,98.177
3972.34231,98.146
3970.30207,98.136
3968.26183,98.149
3966.2216,98.152
3964.18136,98.142
3962.14112,98.136
3960.10088,98.122
3958.06065,98.09
3956.02041,98.069
3953.98017,98.075
3951.93993,98.078
3949.8997,98.047
3947.85946,98.01
3945.81922,98.018
3943.77898,98.065
3941.73875,98.109
3939.69851,98.122
3937.65827,98.099
3935.61803,98.059
3933.5778,98.009
3931.53756,97.97
3929.49732,97.967
3927.45708,97.988
3925.41685,98.006
3923.37661,98.012
3921.33637,97.996
3919.29613,97.961
3917.2559,97.938
3915.21566,97.965
3913.17542,98.027
3911.13518,98.074
3909.09495,98.077
3907.05471,98.054
3905.01447,98.03
3902.97423,97.998
3900.934,97.951
3898.89376,97.924
3896.85352,97.967
3894.81329,98.056
3892.77305,98.119
3890.73281,98.124
3888.69257,98.096
3886.65234,98.032
3884.6121,97.948
3882.57186,97.906
3880.53162,97.929
3878.49139,97.99
3876.45115,98.045
3874.41091,98.073
3872.37067,98.084
3870.33044,98.079
3868.2902,98.076
3866.24996,98.088
3864.20972,98.082
3862.16949,98.051
3860.12925,98.034
3858.08901,98.046
3856.04877,98.056
3854.00854,98.025
3851.9683,97.977
3849.92806,97.977
3847.88782,98.013
3845.84759,98.054
3843.80735,98.081
3841.76711,98.107
3839.72687,98.164
3837.68664,98.213
3835.6464,98.185
3833.60616,98.104
3831.56592,98.06
3829.52569,98.086
3827.48545,98.117
3825.44521,98.109
3823.40497,98.099
3821.36474,98.117
3819.3245,98.159
3817.28426,98.178
3815.24402,98.143
3813.20379,98.129
3811.16355,98.172
3809.12331,98.209
3807.08307,98.196
3805.04284,98.187
3803.0026,98.207
3800.96236,98.19
3798.92213,98.133
3796.88189,98.086
3794.84165,98.058
3792.80141,98.062
3790.76118,98.096
3788.72094,98.121
3786.6807,98.127
3784.64046,98.132
3782.60023,98.139
3780.55999,98.147
3778.51975,98.159
3776.47951,98.169
3774.43928,98.161
3772.39904,98.141
3770.3588,98.127
3768.31856,98.13
3766.27833,98.151
3764.23809,98.169
3762.19785,98.164
3760.15761,98.119
3758.11738,98.063
3756.07714,98.06
3754.0369,98.117
3751.99666,98.174
3749.95643,98.174
3747.91619,98.14
3745.87595,98.108
3743.83571,98.074
3741.79548,98.054
3739.75524,98.053
3737.715,98.043
3735.67476,98.016
3733.63453,98.019
3731.59429,98.054
3729.55405,98.068
3727.51381,98.056
3725.47358,98.036
3723.43334,98.01
3721.3931,97.994
3719.35286,98.018
3717.31263,98.066
3715.27239,98.096
3713.23215,98.091
3711.19191,98.053
3709.15168,98.015
3707.11144,98.012
3705.0712,98.041
3703.03097,98.066
3700.99073,98.068
3698.95049,98.065
3696.91025,98.064
3694.87002,98.061
3692.82978,98.056
3690.78954,98.05
3688.7493,98.053
3686.70907,98.078
3684.66883,98.098
3682.62859,98.092
3680.58835,98.073
3678.54812,98.063
3676.50788,98.059
3674.46764,98.064
3672.4274,98.087
3670.38717,98.095
3668.34693,98.079
3666.30669,98.079
3664.26645,98.086
3662.22622,98.08
3660.18598,98.068
3658.14574,98.046
3656.1055,98.024
3654.06527,98.04
3652.02503,98.071
3649.98479,98.028
3647.94455,97.926
3645.90432,97.897
3643.86408,97.94
3641.82384,98.002
3639.7836,98.066
3637.74337,98.116
3635.70313,98.129
3633.66289,98.109
3631.62265,98.084
3629.58242,98.055
3627.54218,98.028
3625.50194,98.03
3623.4617,98.039
3621.42147,98.011
3619.38123,97.949
3617.34099,97.895
3615.30075,97.876
3613.26052,97.893
3611.22028,97.944
3609.18004,97.991
3607.13981,98.01
3605.09957,98.024
3603.05933,98.04
3601.01909,98.044
3598.97886,98.034
3596.93862,98.015
