TITLE SAMPLE NAME:,PET_LIPTON
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,99.235
LASTX:,599.82981
LASTY:,99.164
NPOINTS:,1681
3996.82516,99.235
3994.78492,99.193
3992.74468,99.155
3990.70444,99.153
3988.66421,99.154
3986.62397,99.162
3984.58373,99.176
3982.5435,99.166
3980.50326,99.153
3978.46302,99.17
3976.42278,99.198
3974.38255,99.196
3972.34231,99.193
3970.30207,99.214
3968.26183,99.213
3966.2216,99.176
3964.18136,99.174
3962.14112,99.213
3960.10088,99.225
3958.06065,99.206
3956.02041,99.178
3953.98017,99.157
3951.93993,99.145
3949.8997,99.12
3947.85946,99.059
3945.81922,99.033
3943.77898,99.11
3941.73875,99.149
3939.69851,99.104
3937.65827,99.064
3935.61803,99.063
3933.5778,99.11
3931.53756,99.106
3929.49732,99.038
3927.45708,99.055
3925.41685,99.128
3923.37661,99.075
3921.33637,98.98
3919.29613,98.988
3917.2559,99.021
3915.21566,99.012
3913.17542,99.042
3911.13518,99.097
3909.09495,99.075
3907.05471,99.071
3905.01447,99.113
3902.97423,99.063
3900.934,99.01
3898.89376,98.986
3896.85352,98.908
3894.81329,98.954
3892.77305,99.145
3890.73281,99.13
3888.69257,99.016
3886.65234,99.113
3884.6121,99.09
3882.57186,99.018
3880.53162,99.084
3878.49139,98.995
3876.45115,98.963
3874.41091,99.039
3872.37067,99.097
3870.33044,99.181
3868.2902,99.079
3866.24996,99.075
3864.20972,99.191
3862.16949,99.099
3860.12925,98.93
3858.08901,98.886
3856.04877,99.166
3854.00854,99.518
3851.9683,99.277
3849.92806,98.911
3847.88782,98.876
3845.84759,99.002
3843.80735,99.084
3841.76711,99.112
3839.72687,99.249
3837.68664,99.323
3835.6464,99.18
3833.60616,99.086
3831.56592,99.059
3829.52569,99.011
3827.48545,99.007
3825.44521,98.981
3823.40497,99.114
3821.36474,99.303
3819.3245,99.168
3817.28426,99.214
3815.24402,99.283
3813.20379,99.092
3811.16355,99.039
3809.12331,99.21
3807.08307,99.271
3805.04284,99.11
3803.0026,99.219
3800.96236,99.307
3798.92213,99.111
3796.88189,99.099
3794.84165,99.116
3792.80141,99.094
3790.76118,99.136
3788.72094,99.168
3786.6807,99.191
3784.64046,99.168
3782.60023,99.136
3780.55999,99.236
3778.51975,99.275
3776.47951,99.178
3774.43928,99.144
3772.39904,99.229
3770.3588,99.302
3768.31856,99.23
3766.27833,99.175
3764.23809,99.119
3762.19785,99.113
3760.15761,99.213
3758.11738,99.136
3756.07714,98.947
3754.0369,99.033
3751.99666,99.322
3749.95643,99.271
3747.91619,99.041
3745.87595,99.245
3743.83571,99.321
3741.79548,98.948
3739.75524,98.859
3737.715,99.077
3735.67476,99.214
3733.63453,99.144
3731.59429,98.998
3729.55405,98.897
3727.51381,98.977
3725.47358,99.076
3723.43334,99.072
3721.3931,99.057
3719.35286,99.04
3717.31263,98.993
3715.27239,99.004
3713.23215,99.187
3711.19191,99.29
3709.15168,99.135
3707.11144,98.994
3705.0712,99.055
3703.03097,99.226
3700.99073,99.226
3698.95049,99.111
3696.91025,99.091
3694.87002,99.066
3692.82978,99.086
3690.78954,99.257
3688.7493,99.332
3686.70907,99.16
3684.66883,99.038
3682.62859,99.047
3680.58835,99.04
3678.54812,99.129
3676.50788,99.37
3674.46764,99.234
3672.4274,99.032
3670.38717,99.239
3668.34693,99.231
3666.30669,99.076
3664.26645,99.083
3662.22622,99.099
3660.18598,99.082
3658.14574,99.162
3656.1055,99.137
3654.06527,98.917
3652.02503,99.015
3649.98479,99.313
3647.94455,99.217
3645.90432,98.93
3643.86408,98.877
3641.82384,99.034
3639.7836,99.167
3637.74337,99.204
3635.70313,99.172
3633.66289,99.078
3631.62265,99.12
3629.58242,99.363
3627.54218,99.246
3625.50194,98.926
3623.4617,98.872
3621.42147,99.037
3619.38123,99.14
3617.34099,98.992
3615.30075,98.892
3613.26052,98.946
3611.22028,99.008
3609.18004,99.116
3607.13981,99.135
3605.09957,99.064
3603.05933,99.114
3601.01909,99.2
3598.97886,99.17
3596.93862,99.127
