TITLE SAMPLE NAME:,Polyethylene Terephthalate (PET)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Absorbance
FIRSTX:,3996.86747
FIRSTY:,0.00848
LASTX:,599.83616
LASTY:,0.01016
NPOINTS:,1681
3454.15857,0.00734
3452.11831,0.00737
3450.07805,0.00782
3448.03779,0.00869
3445.99753,0.00904
3443.95727,0.00860
3441.91701,0.00806
3439.87675,0.00762
3437.83649,0.00731
3435.79623,0.00726
3433.75598,0.00746
3431.71572,0.00763
3429.67546,0.00762
3427.63520,0.00757
3425.59494,0.00763
3423.55468,0.00800
3421.51442,0.00845
3419.47416,0.00836
3417.43390,0.00777
3415.39364,0.00733
3413.35339,0.00719
3411.31313,0.00721
3409.27287,0.00736
3407.23261,0.00748
3405.19235,0.00747
3403.15209,0.00750
3401.11183,0.00763
3399.07157,0.00778
3397.03131,0.00787
3394.99105,0.00792
3392.95079,0.00791
3390.91054,0.00774
3388.87028,0.00753
3386.83002,0.00753
3384.78976,0.00761
3382.74950,0.00749
3380.70924,0.00733
3378.66898,0.00729
3376.62872,0.00725
3374.58846,0.00724
3372.54820,0.00731
3370.50795,0.00744
3368.46769,0.00768
3366.42743,0.00790
3364.38717,0.00787
3362.34691,0.00768
3360.30665,0.00746
3358.26639,0.00738
3356.22613,0.00745
3354.18587,0.00745
3352.14561,0.00735
3350.10535,0.00724
3348.06510,0.00715
3346.02484,0.00709
3343.98458,0.00709
3341.94432,0.00713
3339.90406,0.00717
3337.86380,0.00731
3335.82354,0.00748
3333.78328,0.00749
3331.74302,0.00735
3329.70276,0.00729
3327.66251,0.00730
3325.62225,0.00726
3323.58199,0.00722
3321.54173,0.00723
3319.50147,0.00717
3317.46121,0.00710
3315.42095,0.00712
3313.38069,0.00724
3311.34043,0.00734
3309.30017,0.00742
3307.25991,0.00743
3305.21966,0.00730
3303.17940,0.00718
3301.13914,0.00714
3299.09888,0.00709
3297.05862,0.00711
3295.01836,0.00731
3292.97810,0.00749
3290.93784,0.00744
3288.89758,0.00731
3286.85732,0.00727
3284.81707,0.00735
3282.77681,0.00740
3280.73655,0.00734
3278.69629,0.00736
3276.65603,0.00754
3274.61577,0.00768
3272.57551,0.00756
3270.53525,0.00726
3268.49499,0.00706
3266.45473,0.00701
3264.41447,0.00705
3262.37422,0.00714
3260.33396,0.00729
3258.29370,0.00747
3256.25344,0.00757
3254.21318,0.00746
3252.17292,0.00726
3250.13266,0.00713
3248.09240,0.00713
3246.05214,0.00729
3244.01188,0.00741
3241.97163,0.00738
3239.93137,0.00731
3237.89111,0.00729
3235.85085,0.00725
3233.81059,0.00715
3231.77033,0.00709
3229.73007,0.00714
3227.68981,0.00717
3225.64955,0.00707
