TITLE SAMPLE NAME:,LDPE_DOVE
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.871
LASTX:,599.82981
LASTY:,98.711
NPOINTS:,1681
3996.82516,98.871
3994.78492,98.844
3992.74468,98.831
3990.70444,98.839
3988.66421,98.846
3986.62397,98.848
3984.58373,98.841
3982.5435,98.831
3980.50326,98.845
3978.46302,98.858
3976.42278,98.832
3974.38255,98.805
3972.34231,98.816
3970.30207,98.844
3968.26183,98.849
3966.2216,98.824
3964.18136,98.795
3962.14112,98.792
3960.10088,98.81
3958.06065,98.812
3956.02041,98.789
3953.98017,98.762
3951.93993,98.724
3949.8997,98.679
3947.85946,98.664
3945.81922,98.686
3943.77898,98.719
3941.73875,98.751
3939.69851,98.769
3937.65827,98.773
3935.61803,98.772
3933.5778,98.743
3931.53756,98.689
3929.49732,98.68
3927.45708,98.728
3925.41685,98.774
3923.37661,98.776
3921.33637,98.73
3919.29613,98.671
3917.2559,98.639
3915.21566,98.666
3913.17542,98.747
3911.13518,98.818
3909.09495,98.83
3907.05471,98.797
3905.01447,98.738
3902.97423,98.667
3900.934,98.616
3898.89376,98.627
3896.85352,98.685
3894.81329,98.723
3892.77305,98.723
3890.73281,98.729
3888.69257,98.753
3886.65234,98.746
3884.6121,98.694
3882.57186,98.644
3880.53162,98.644
3878.49139,98.704
3876.45115,98.741
3874.41091,98.706
3872.37067,98.668
3870.33044,98.669
3868.2902,98.685
3866.24996,98.694
3864.20972,98.694
3862.16949,98.721
3860.12925,98.776
3858.08901,98.798
3856.04877,98.754
3854.00854,98.677
3851.9683,98.662
3849.92806,98.72
3847.88782,98.774
3845.84759,98.774
3843.80735,98.728
3841.76711,98.685
3839.72687,98.683
3837.68664,98.703
3835.6464,98.708
3833.60616,98.686
3831.56592,98.682
3829.52569,98.73
3827.48545,98.783
3825.44521,98.784
3823.40497,98.736
3821.36474,98.696
3819.3245,98.72
3817.28426,98.761
3815.24402,98.778
3813.20379,98.816
3811.16355,98.875
3809.12331,98.892
3807.08307,98.849
3805.04284,98.822
3803.0026,98.839
3800.96236,98.838
3798.92213,98.804
3796.88189,98.779
3794.84165,98.78
3792.80141,98.805
3790.76118,98.843
3788.72094,98.863
3786.6807,98.854
3784.64046,98.834
3782.60023,98.821
3780.55999,98.833
3778.51975,98.867
3776.47951,98.884
3774.43928,98.87
3772.39904,98.849
3770.3588,98.831
3768.31856,98.809
3766.27833,98.79
3764.23809,98.783
3762.19785,98.781
3760.15761,98.755
3758.11738,98.728
3756.07714,98.736
3754.0369,98.733
3751.99666,98.704
3749.95643,98.711
3747.91619,98.749
3745.87595,98.737
3743.83571,98.672
3741.79548,98.656
3739.75524,98.695
3737.715,98.681
3735.67476,98.603
3733.63453,98.595
3731.59429,98.663
3729.55405,98.693
3727.51381,98.672
3725.47358,98.651
3723.43334,98.654
3721.3931,98.682
3719.35286,98.738
3717.31263,98.791
3715.27239,98.786
3713.23215,98.713
3711.19191,98.635
3709.15168,98.632
3707.11144,98.699
3705.0712,98.772
3703.03097,98.789
3700.99073,98.765
3698.95049,98.77
3696.91025,98.801
3694.87002,98.8
3692.82978,98.747
3690.78954,98.685
3688.7493,98.68
3686.70907,98.743
3684.66883,98.8
3682.62859,98.803
3680.58835,98.765
3678.54812,98.721
3676.50788,98.693
3674.46764,98.677
3672.4274,98.656
3670.38717,98.646
3668.34693,98.681
3666.30669,98.739
3664.26645,98.768
3662.22622,98.774
3660.18598,98.781
3658.14574,98.776
3656.1055,98.749
3654.06527,98.733
3652.02503,98.711
3649.98479,98.631
3647.94455,98.561
3645.90432,98.602
3643.86408,98.7
3641.82384,98.785
3639.7836,98.844
3637.74337,98.873
3635.70313,98.874
3633.66289,98.855
3631.62265,98.803
3629.58242,98.726
3627.54218,98.693
3625.50194,98.714
3623.4617,98.716
3621.42147,98.671
3619.38123,98.616
3617.34099,98.595
3615.30075,98.592
3613.26052,98.594
3611.22028,98.622
3609.18004,98.662
3607.13981,98.697
3605.09957,98.724
3603.05933,98.73
3601.01909,98.718
3598.97886,98.706
3596.93862,98.699
