TITLE SAMPLE NAME:,HDPE_MED_BOX
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,98.275
LASTX:,599.82981
LASTY:,97.348
NPOINTS:,1681
3996.82516,98.885
3994.78492,98.849
3992.74468,98.804
3990.70444,98.775
3988.66421,98.758
3986.62397,98.761
3984.58373,98.783
3982.5435,98.814
3980.50326,98.843
3978.46302,98.848
3976.42278,98.831
3974.38255,98.819
3972.34231,98.816
3970.30207,98.809
3968.26183,98.8
3966.2216,98.791
3964.18136,98.782
3962.14112,98.778
3960.10088,98.78
3958.06065,98.783
3956.02041,98.797
3953.98017,98.816
3951.93993,98.79
3949.8997,98.72
3947.85946,98.682
3945.81922,98.714
3943.77898,98.774
3941.73875,98.814
3939.69851,98.811
3937.65827,98.777
3935.61803,98.735
3933.5778,98.699
3931.53756,98.695
3929.49732,98.745
3927.45708,98.791
3925.41685,98.787
3923.37661,98.747
3921.33637,98.696
3919.29613,98.67
3917.2559,98.695
3915.21566,98.753
3913.17542,98.804
3911.13518,98.827
3909.09495,98.817
3907.05471,98.79
3905.01447,98.757
3902.97423,98.722
3900.934,98.691
3898.89376,98.696
3896.85352,98.746
3894.81329,98.798
3892.77305,98.814
3890.73281,98.812
3888.69257,98.815
3886.65234,98.794
3884.6121,98.751
3882.57186,98.722
3880.53162,98.718
3878.49139,98.74
3876.45115,98.764
3874.41091,98.769
3872.37067,98.766
3870.33044,98.76
3868.2902,98.765
3866.24996,98.773
3864.20972,98.762
3862.16949,98.741
3860.12925,98.728
3858.08901,98.722
3856.04877,98.73
3854.00854,98.769
3851.9683,98.833
3849.92806,98.862
3847.88782,98.844
3845.84759,98.817
3843.80735,98.806
3841.76711,98.817
3839.72687,98.85
3837.68664,98.871
3835.6464,98.838
3833.60616,98.776
3831.56592,98.749
3829.52569,98.774
3827.48545,98.808
3825.44521,98.827
3823.40497,98.842
3821.36474,98.853
3819.3245,98.875
3817.28426,98.907
3815.24402,98.909
3813.20379,98.894
3811.16355,98.892
3809.12331,98.895
3807.08307,98.905
3805.04284,98.943
3803.0026,98.966
3800.96236,98.921
3798.92213,98.847
3796.88189,98.803
3794.84165,98.79
3792.80141,98.798
3790.76118,98.826
3788.72094,98.855
3786.6807,98.862
3784.64046,98.857
3782.60023,98.866
3780.55999,98.888
3778.51975,98.903
3776.47951,98.897
3774.43928,98.875
3772.39904,98.858
3770.3588,98.858
3768.31856,98.87
3766.27833,98.873
3764.23809,98.861
3762.19785,98.847
3760.15761,98.829
3758.11738,98.809
3756.07714,98.812
3754.0369,98.841
3751.99666,98.875
3749.95643,98.896
3747.91619,98.911
3745.87595,98.905
3743.83571,98.877
3741.79548,98.886
3739.75524,98.931
3737.715,98.924
3735.67476,98.839
3733.63453,98.782
3731.59429,98.785
3729.55405,98.782
3727.51381,98.772
3725.47358,98.772
3723.43334,98.763
3721.3931,98.759
3719.35286,98.782
3717.31263,98.811
3715.27239,98.817
3713.23215,98.798
3711.19191,98.783
3709.15168,98.796
3707.11144,98.817
3705.0712,98.823
3703.03097,98.809
3700.99073,98.79
3698.95049,98.791
3696.91025,98.802
3694.87002,98.802
3692.82978,98.798
3690.78954,98.802
3688.7493,98.823
3686.70907,98.86
3684.66883,98.878
3682.62859,98.856
3680.58835,98.822
3678.54812,98.821
3676.50788,98.843
3674.46764,98.838
3672.4274,98.81
3670.38717,98.806
3668.34693,98.837
3666.30669,98.859
3664.26645,98.85
3662.22622,98.833
3660.18598,98.835
3658.14574,98.844
3656.1055,98.835
3654.06527,98.826
3652.02503,98.822
3649.98479,98.797
3647.94455,98.758
3645.90432,98.74
3643.86408,98.749
3641.82384,98.786
3639.7836,98.84
3637.74337,98.88
3635.70313,98.891
3633.66289,98.875
3631.62265,98.849
3629.58242,98.822
3627.54218,98.806
3625.50194,98.809
3623.4617,98.805
3621.42147,98.773
3619.38123,98.731
3617.34099,98.719
3615.30075,98.735
3613.26052,98.755
3611.22028,98.769
3609.18004,98.78
3607.13981,98.798
3605.09957,98.82
3603.05933,98.831
3601.01909,98.835
3598.97886,98.829
3596.93862,98.798
