TITLE SAMPLE NAME:,PP_ICE_CREAM
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.82516
FIRSTY:,97.787
LASTX:,599.82981
LASTY:,97.212
NPOINTS:,1681
3996.82516,97.787
3994.78492,97.745
3992.74468,97.7
3990.70444,97.671
3988.66421,97.681
3986.62397,97.714
3984.58373,97.739
3982.5435,97.756
3980.50326,97.782
3978.46302,97.792
3976.42278,97.768
3974.38255,97.755
3972.34231,97.763
3970.30207,97.771
3968.26183,97.77
3966.2216,97.743
3964.18136,97.689
3962.14112,97.675
3960.10088,97.733
3958.06065,97.774
3956.02041,97.771
3953.98017,97.769
3951.93993,97.738
3949.8997,97.658
3947.85946,97.625
3945.81922,97.633
3943.77898,97.604
3941.73875,97.619
3939.69851,97.666
3937.65827,97.671
3935.61803,97.641
3933.5778,97.558
3931.53756,97.545
3929.49732,97.674
3927.45708,97.75
3925.41685,97.709
3923.37661,97.705
3921.33637,97.675
3919.29613,97.548
3917.2559,97.502
3915.21566,97.612
3913.17542,97.709
3911.13518,97.749
3909.09495,97.8
3907.05471,97.743
3905.01447,97.58
3902.97423,97.519
3900.934,97.517
3898.89376,97.58
3896.85352,97.761
3894.81329,97.784
3892.77305,97.601
3890.73281,97.621
3888.69257,97.768
3886.65234,97.661
3884.6121,97.605
3882.57186,97.619
3880.53162,97.59
3878.49139,97.781
3876.45115,97.87
3874.41091,97.762
3872.37067,97.67
3870.33044,97.631
3868.2902,97.833
3866.24996,97.888
3864.20972,97.708
3862.16949,97.708
3860.12925,97.861
3858.08901,97.917
3856.04877,97.625
3854.00854,97.254
3851.9683,97.495
3849.92806,97.885
3847.88782,97.924
3845.84759,97.779
3843.80735,97.69
3841.76711,97.701
3839.72687,97.676
3837.68664,97.714
3835.6464,97.847
3833.60616,97.829
3831.56592,97.745
3829.52569,97.748
3827.48545,97.764
3825.44521,97.836
3823.40497,97.764
3821.36474,97.63
3819.3245,97.818
3817.28426,97.82
3815.24402,97.752
3813.20379,97.926
3811.16355,98
3809.12331,97.856
3807.08307,97.783
3805.04284,97.941
3803.0026,97.865
3800.96236,97.753
3798.92213,97.863
3796.88189,97.816
3794.84165,97.791
3792.80141,97.836
3790.76118,97.825
3788.72094,97.79
3786.6807,97.747
3784.64046,97.774
3782.60023,97.821
3780.55999,97.731
3778.51975,97.715
3776.47951,97.851
3774.43928,97.901
3772.39904,97.788
3770.3588,97.65
3768.31856,97.673
3766.27833,97.729
3764.23809,97.809
3762.19785,97.812
3760.15761,97.656
3758.11738,97.669
3756.07714,97.86
3754.0369,97.82
3751.99666,97.586
3749.95643,97.7
3747.91619,97.986
3745.87595,97.775
3743.83571,97.595
3741.79548,97.878
3739.75524,97.979
3737.715,97.748
3735.67476,97.506
3733.63453,97.544
3731.59429,97.748
3729.55405,97.842
3727.51381,97.701
3725.47358,97.571
3723.43334,97.579
3721.3931,97.632
3719.35286,97.728
3717.31263,97.845
3715.27239,97.843
3713.23215,97.618
3711.19191,97.482
3709.15168,97.666
3707.11144,97.867
3705.0712,97.845
3703.03097,97.673
3700.99073,97.638
3698.95049,97.738
3696.91025,97.772
3694.87002,97.797
3692.82978,97.762
3690.78954,97.591
3688.7493,97.538
3686.70907,97.751
3684.66883,97.906
3682.62859,97.892
3680.58835,97.864
3678.54812,97.754
3676.50788,97.533
3674.46764,97.688
3672.4274,97.885
3670.38717,97.672
3668.34693,97.698
3666.30669,97.865
3664.26645,97.824
3662.22622,97.753
3660.18598,97.737
3658.14574,97.653
3656.1055,97.681
3654.06527,97.912
3652.02503,97.819
3649.98479,97.464
3647.94455,97.454
3645.90432,97.703
3643.86408,97.811
3641.82384,97.765
3639.7836,97.755
3637.74337,97.798
3635.70313,97.839
3633.66289,97.895
3631.62265,97.809
3629.58242,97.517
3627.54218,97.586
3625.50194,97.875
3623.4617,97.888
3621.42147,97.658
3619.38123,97.491
3617.34099,97.603
3615.30075,97.676
3613.26052,97.625
3611.22028,97.647
3609.18004,97.641
3607.13981,97.653
3605.09957,97.728
3603.05933,97.717
3601.01909,97.68
3598.97886,97.703
3596.93862,97.68
