TITLE SAMPLE NAME:,PP
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,FTIR Spectrophotometer
MODEL NAME:,FTIR
SERIAL No:,
ACCESSORY:,ATR
LIGHT SOURCE:,
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,3996.86747
FIRSTY:,98.27430926
LASTX:,599.83616
LASTY:,97.67423085
NPOINTS:,1681
3996.82516,0.97587
3994.78492,0.97531
3992.74468,0.975
3990.70444,0.97498
3988.66421,0.97495
3986.62397,0.975
3984.58373,0.97521
3982.5435,0.97544
3980.50326,0.97556
3978.46302,0.97545
3976.42278,0.97513
3974.38255,0.97486
3972.34231,0.9748
3970.30207,0.97479
3968.26183,0.97476
3966.2216,0.97488
3964.18136,0.97509
3962.14112,0.97512
3960.10088,0.97508
3958.06065,0.97513
3956.02041,0.97516
3953.98017,0.97522
3951.93993,0.97533
3949.8997,0.97531
3947.85946,0.97518
3945.81922,0.97508
3943.77898,0.97481
3941.73875,0.97449
3939.69851,0.97452
3937.65827,0.97477
3935.61803,0.97491
3933.5778,0.9749
3931.53756,0.975
3929.49732,0.9752
3927.45708,0.97527
3925.41685,0.97525
3923.37661,0.97534
3921.33637,0.9755
3919.29613,0.97541
3917.2559,0.97497
3915.21566,0.97466
3913.17542,0.97488
3911.13518,0.97539
3909.09495,0.97568
3907.05471,0.97542
3905.01447,0.97482
3902.97423,0.97454
3900.934,0.97472
3898.89376,0.97491
3896.85352,0.975
3894.81329,0.97509
3892.77305,0.97502
3890.73281,0.97471
3888.69257,0.97444
3886.65234,0.97435
3884.6121,0.97442
3882.57186,0.97462
3880.53162,0.97471
3878.49139,0.97475
3876.45115,0.97492
3874.41091,0.97508
3872.37067,0.97512
3870.33044,0.97483
3868.2902,0.97448
3866.24996,0.9747
3864.20972,0.97511
3862.16949,0.9752
3860.12925,0.97525
3858.08901,0.97557
3856.04877,0.97591
3854.00854,0.97542
3851.9683,0.97409
3849.92806,0.97347
3847.88782,0.97388
3845.84759,0.97456
3843.80735,0.97501
3841.76711,0.9753
3839.72687,0.97555
3837.68664,0.97563
3835.6464,0.97554
3833.60616,0.97542
3831.56592,0.97533
3829.52569,0.97536
3827.48545,0.9755
3825.44521,0.97573
3823.40497,0.97583
3821.36474,0.97545
3819.3245,0.97486
3817.28426,0.97446
3815.24402,0.97403
3813.20379,0.97388
3811.16355,0.97433
3809.12331,0.97497
3807.08307,0.97526
3805.04284,0.9753
3803.0026,0.9754
3800.96236,0.97545
3798.92213,0.97553
3796.88189,0.97569
3794.84165,0.97571
3792.80141,0.97562
3790.76118,0.97553
3788.72094,0.97542
3786.6807,0.9753
3784.64046,0.97516
3782.60023,0.97496
3780.55999,0.9747
3778.51975,0.9745
3776.47951,0.97449
3774.43928,0.97468
3772.39904,0.97501
3770.3588,0.97527
3768.31856,0.9753
3766.27833,0.97521
3764.23809,0.9752
3762.19785,0.9754
3760.15761,0.97555
3758.11738,0.97544
3756.07714,0.97543
3754.0369,0.97586
3751.99666,0.97615
3749.95643,0.97571
3747.91619,0.97528
3745.87595,0.97521
3743.83571,0.97504
3741.79548,0.97511
3739.75524,0.97569
3737.715,0.97608
3735.67476,0.97548
3733.63453,0.97444
3731.59429,0.97412
3729.55405,0.97435
3727.51381,0.97462
3725.47358,0.97489
3723.43334,0.97508
3721.3931,0.97506
3719.35286,0.97497
3717.31263,0.97514
3715.27239,0.97557
3713.23215,0.97587
3711.19191,0.9756
3709.15168,0.97503
3707.11144,0.97477
3705.0712,0.97479
3703.03097,0.97491
3700.99073,0.97507
3698.95049,0.97522
3696.91025,0.97526
3694.87002,0.97535
3692.82978,0.97568
3690.78954,0.97599
3688.7493,0.97575
3686.70907,0.97529
3684.66883,0.97518
3682.62859,0.97528
3680.58835,0.97538
3678.54812,0.97552
3676.50788,0.97557
3674.46764,0.97549
3672.4274,0.97554
3670.38717,0.97534
3668.34693,0.97489
3666.30669,0.97489
3664.26645,0.9752
3662.22622,0.97535
3660.18598,0.97535
3658.14574,0.97519
3656.1055,0.97494
3654.06527,0.97518
3652.02503,0.97582
3649.98479,0.97587
3647.94455,0.97512
3645.90432,0.97464
3643.86408,0.97472
3641.82384,0.97486
3639.7836,0.97487
3637.74337,0.97491
3635.70313,0.97505
3633.66289,0.9752
3631.62265,0.97515
